bill_name,lobbying_companies,bill_no,date introduced,sponsor,committee,state,party,no_bills_in_state,properties.color,properties.article
"To promote United States leadership in technical standards by directing the National Institute of Standards and Technology and the Department of State to take certain actions to encourage and enable United States participation in developing standards and specifications for artificial intelligence and other critical and emerging technologies, and for other purposes.",,H.R.10281,12/4/2024,"Obernolte, Jay","House - Science, Space, and Technology",California,Republican Party,35,#007281,
"To require the Federal financial agencies to carry out a study and report on standardized descriptions for vendor-provided artificial intelligence systems, and for other purposes.",,H.R.10263,11/26/2024,"Waters, Maxine",House - Financial Services,California,Democratic Party,35,#007281,
AI Act of 2024,"MOTION PICTURE ASSOCIATION INC, BROADCAST MUSIC, INC., AMERICAN MEDICAL ASSOCIATION, NCTA - THE INTERNET & TELEVISION ASSOCIATION, GOOGLE CLIENT SERVICES LLC, UNIVERSITY OF CINCINNATI, EDUCATION REFORM NOW ADVOCACY, AMERICAN COLLEGE OF SURGEONS, HARVARD UNIVERSITY--PRESIDENT AND FELLOWS OF HARVARD COLLEGE, AMPERE COMPUTING EMPLOYER LLC, BOSTON SCIENTIFIC CORPORATION, ASSOCIATION OF AMERICAN MEDICAL COLLEGES, NOVARTIS, TSMC ARIZONA, UNITED STATES BOMB TECHNICIAN ASSOCIATION, DEMOCRACY 21, COPYRIGHT CLEARANCE CENTER, MOTOROLA SOLUTIONS INC, INTERNATIONAL ALLIANCE OF THEATRICAL STAGE EMPLOYEES, AMERICAN HOSPITAL ASSOCIATION, RECORDING INDUSTRY ASSOCIATION OF AMERICA, SOCIETY FOR INDUSTRIAL AND APPLIED MATHEMATICS, SIERRA CLUB, CROWDSTRIKE, INC., LAWYERS' COMMITTEE FOR CIVIL RIGHTS UNDER LAW, AMERICAN FEDERATION OF MUSICIANS, CREDIT UNION NATIONAL ASSOCIATION, INC. DBA AMERICA'S CREDIT UNIONS, SOFTWARE & INFORMATION INDUSTRY ASSOCIATION (SIIA), INTERNATIONAL TRADEMARK ASSOCIATION, ADOBE SYSTEMS INC., MICROSOFT CORPORATION, NEWS MEDIA ALLIANCE, META PLATFORMS, INC., CALIFORNIA HOSPITAL ASSOCIATION, DIRECTORS GUILD OF AMERICA, AMERICAN CIVIL LIBERTIES UNION, FEDERAL MANAGERS ASSOCIATION, WELLSKY, INFORMATION TECHNOLOGY INDUSTRY COUNCIL (ITI), BOSTON UNIVERSITY, AMERICAN DENTAL ASSOCIATION, AMERICAN PSYCHIATRIC ASSOCIATION, NATIONAL ASSOCIATION OF CHILDREN'S HOSPITALS (N.A.C.H.), ELEVANCE HEALTH, INC., NETFLIX, INC., AMERICAN COLLEGE OF SURGEONS PROFESSIONAL ASSOCIATION, NORTHEASTERN UNIVERSITY, LEADERSHIP CONFERENCE ON CIVIL AND HUMAN RIGHTS, AMERICAN ASSOCIATION OF INDEPENDENT MUSIC, AMAZON.COM SERVICES LLC, BROADCAST MUSIC INC, ELECTRONIC FRONTIER FOUNDATION, AMERICAN FED OF GOVERNMENT EMPLOYEES AFL-CIO, NATIONAL RETAIL FEDERATION, AMERICAN FEDERATION OF TEACHERS, STANFORD UNIVERSITY, CHAMBER OF COMMERCE OF THE U.S.A., FEDERATION OF AMERICAN HOSPITALS, GLOBAL PAYMENTS, INC., AIRBNB, INC., THE NORTHWESTERN MUTUAL LIFE INSURANCE COMPANY, PUBLIC CITIZEN, KPMG LLP, GEORGIA INSTITUTE OF TECHNOLOGY, UNIVERSITY OF ILLINOIS, AMERICAN SECURITY FUND, DISNEY WORLDWIDE SERVICES INC, SONOSITE, A SUBSIDIARY OF FUJIFILM (FORMERLY SONOSITE, INC.), RECORDING INDUSTRY ASSOCIATION OF AMERICA INC, KYNDRYL INC, CLEAN ENERGY BUYERS ASSOCIATION (FORMERLY RENEWABLE ENERGY BUYERS ALLIANCE), LINKEDIN CORPORATION, OPENAI OPCO, LLC, BUSINESS SOFTWARE ALLIANCE, IVANTI, GPS INNOVATION ALLIANCE, AMERICAN SOCIETY OF COMPOSERS, AUTHORS, AND PUBLISHERS, CHAMBER OF PROGRESS, AARP, SALESFORCE, INC., UNIVERSITY OF CALIFORNIA, PACIFIC GAS AND ELECTRIC COMPANY, PALO ALTO NETWORKS, INC., FOUNDATION FOR INDIVIDUAL RIGHTS AND EXPRESSION (FIRE), VANDERBILT UNIVERSITY, AMERICAN PUBLIC POWER ASSOCIATION, LILT, ORACLE CORPORATION, LENOVO (UNITED STATES) INC., INTERNATIONAL BUSINESS MACHINES CORPORATION (IBM), INFORMATION TECHNOLOGY INDUSTRY COUNCIL, TECHNET, SOFTWARE & INFORMATION INDUSTRY ASSOCIATION, LEAGUE OF WOMEN VOTERS OF THE U.S., BSA THE SOFTWARE ALLIANCE (FORMERLY BSA BUSINESS SOFTWARE ALLIANCE INC), COVESTRO LLC, BIOTECHNOLOGY INNOVATION ORGANIZATION, NATIONAL ASSOCIATION OF BROADCASTERS, CTIA-THE WIRELESS ASSOCIATION, NATIONAL TREASURY EMPLOYEES UNION, THE NONPROFIT ALLIANCE, META PLATFORMS, INC. AND VARIOUS SUBSIDIARIES, DELL TECHNOLOGIES INC, ASSOCIATION OF AMERICAN UNIVERSITIES, CONSUMER TECHNOLOGY ASSOCIATION, AMERICAN INTELLECTUAL PROPERTY LAW ASSOCIATION (AIPLA)",H.R.10262,11/26/2024,"Waters, Maxine",House - Financial Services,California,Democratic Party,35,#007281,"Bill Name: AI Act of 2024
Sponsor: Waters, Maxine
Lobbying Companies: MOTION PICTURE ASSOCIATION INC, BROADCAST MUSIC, INC., AMERICAN MEDICAL ASSOCIATION, NCTA - THE INTERNET & TELEVISION ASSOCIATION, GOOGLE CLIENT SERVICES LLC, UNIVERSITY OF CINCINNATI, EDUCATION REFORM NOW ADVOCACY, AMERICAN COLLEGE OF SURGEONS, HARVARD UNIVERSITY--PRESIDENT AND FELLOWS OF HARVARD COLLEGE, AMPERE COMPUTING EMPLOYER LLC, BOSTON SCIENTIFIC CORPORATION, ASSOCIATION OF AMERICAN MEDICAL COLLEGES, NOVARTIS, TSMC ARIZONA, UNITED STATES BOMB TECHNICIAN ASSOCIATION, DEMOCRACY 21, COPYRIGHT CLEARANCE CENTER, MOTOROLA SOLUTIONS INC, INTERNATIONAL ALLIANCE OF THEATRICAL STAGE EMPLOYEES, AMERICAN HOSPITAL ASSOCIATION, RECORDING INDUSTRY ASSOCIATION OF AMERICA, SOCIETY FOR INDUSTRIAL AND APPLIED MATHEMATICS, SIERRA CLUB, CROWDSTRIKE, INC., LAWYERS' COMMITTEE FOR CIVIL RIGHTS UNDER LAW, AMERICAN FEDERATION OF MUSICIANS, CREDIT UNION NATIONAL ASSOCIATION, INC. DBA AMERICA'S CREDIT UNIONS, SOFTWARE & INFORMATION INDUSTRY ASSOCIATION (SIIA), INTERNATIONAL TRADEMARK ASSOCIATION, ADOBE SYSTEMS INC., MICROSOFT CORPORATION, NEWS MEDIA ALLIANCE, META PLATFORMS, INC., CALIFORNIA HOSPITAL ASSOCIATION, DIRECTORS GUILD OF AMERICA, AMERICAN CIVIL LIBERTIES UNION, FEDERAL MANAGERS ASSOCIATION, WELLSKY, INFORMATION TECHNOLOGY INDUSTRY COUNCIL (ITI), BOSTON UNIVERSITY, AMERICAN DENTAL ASSOCIATION, AMERICAN PSYCHIATRIC ASSOCIATION, NATIONAL ASSOCIATION OF CHILDREN'S HOSPITALS (N.A.C.H.), ELEVANCE HEALTH, INC., NETFLIX, INC., AMERICAN COLLEGE OF SURGEONS PROFESSIONAL ASSOCIATION, NORTHEASTERN UNIVERSITY, LEADERSHIP CONFERENCE ON CIVIL AND HUMAN RIGHTS, AMERICAN ASSOCIATION OF INDEPENDENT MUSIC, AMAZON.COM SERVICES LLC, BROADCAST MUSIC INC, ELECTRONIC FRONTIER FOUNDATION, AMERICAN FED OF GOVERNMENT EMPLOYEES AFL-CIO, NATIONAL RETAIL FEDERATION, AMERICAN FEDERATION OF TEACHERS, STANFORD UNIVERSITY, CHAMBER OF COMMERCE OF THE U.S.A., FEDERATION OF AMERICAN HOSPITALS, GLOBAL PAYMENTS, INC., AIRBNB, INC., THE NORTHWESTERN MUTUAL LIFE INSURANCE COMPANY, PUBLIC CITIZEN, KPMG LLP, GEORGIA INSTITUTE OF TECHNOLOGY, UNIVERSITY OF ILLINOIS, AMERICAN SECURITY FUND, DISNEY WORLDWIDE SERVICES INC, SONOSITE, A SUBSIDIARY OF FUJIFILM (FORMERLY SONOSITE, INC.), RECORDING INDUSTRY ASSOCIATION OF AMERICA INC, KYNDRYL INC, CLEAN ENERGY BUYERS ASSOCIATION (FORMERLY RENEWABLE ENERGY BUYERS ALLIANCE), LINKEDIN CORPORATION, OPENAI OPCO, LLC, BUSINESS SOFTWARE ALLIANCE, IVANTI, GPS INNOVATION ALLIANCE, AMERICAN SOCIETY OF COMPOSERS, AUTHORS, AND PUBLISHERS, CHAMBER OF PROGRESS, AARP, SALESFORCE, INC., UNIVERSITY OF CALIFORNIA, PACIFIC GAS AND ELECTRIC COMPANY, PALO ALTO NETWORKS, INC., FOUNDATION FOR INDIVIDUAL RIGHTS AND EXPRESSION (FIRE), VANDERBILT UNIVERSITY, AMERICAN PUBLIC POWER ASSOCIATION, LILT, ORACLE CORPORATION, LENOVO (UNITED STATES) INC., INTERNATIONAL BUSINESS MACHINES CORPORATION (IBM), INFORMATION TECHNOLOGY INDUSTRY COUNCIL, TECHNET, SOFTWARE & INFORMATION INDUSTRY ASSOCIATION, LEAGUE OF WOMEN VOTERS OF THE U.S., BSA THE SOFTWARE ALLIANCE (FORMERLY BSA BUSINESS SOFTWARE ALLIANCE INC), COVESTRO LLC, BIOTECHNOLOGY INNOVATION ORGANIZATION, NATIONAL ASSOCIATION OF BROADCASTERS, CTIA-THE WIRELESS ASSOCIATION, NATIONAL TREASURY EMPLOYEES UNION, THE NONPROFIT ALLIANCE, META PLATFORMS, INC. AND VARIOUS SUBSIDIARIES, DELL TECHNOLOGIES INC, ASSOCIATION OF AMERICAN UNIVERSITIES, CONSUMER TECHNOLOGY ASSOCIATION, AMERICAN INTELLECTUAL PROPERTY LAW ASSOCIATION (AIPLA)"
Expressing the sense of the House of Representatives with respect to the use of artificial intelligence in the financial services and housing industries.,"AMERICAN PUBLIC TRANSPORTATION ASSOCIATION, NATIONAL TREASURY EMPLOYEES UNION, PARAMOUNT GLOBAL, TREA SENIOR CITIZENS LEAGUE",H.Res.1600,11/26/2024,"McHenry, Patrick T.",House - Financial Services,North Carolina,Republican Party,7,#00AEC5,"Bill Name: Expressing the sense of the House of Representatives with respect to the use of artificial intelligence in the financial services and housing industries.
Sponsor: McHenry, Patrick T.
Lobbying Companies: AMERICAN PUBLIC TRANSPORTATION ASSOCIATION, NATIONAL TREASURY EMPLOYEES UNION, PARAMOUNT GLOBAL, TREA SENIOR CITIZENS LEAGUE"
SCAM Platform Act,"CHAMBER OF COMMERCE OF THE U.S.A, ISSUE ONE",H.R.10212,11/21/2024,"Curtis, John R.",House - Energy and Commerce,Utah,Republican Party,3,#00AEC5,"Bill Name: SCAM Platform Act
Sponsor: Curtis, John R.
Lobbying Companies: CHAMBER OF COMMERCE OF THE U.S.A, ISSUE ONE"
TRAIN Act,,S.5379,11/21/2024,"Welch, Peter",Senate - Judiciary,Vermont,Democratic Party,4,#00AEC5,
AI Fraud Deterrence Act,,H.R.10125,11/14/24,"Lieu, Ted",House - Judiciary,California,Democratic Party,35,#007281,
Ending FCC Meddling in Our Elections Act,,H.R.9913,10/04/24,"Clyde, Andrew S.",House - Energy and Commerce,Georgia,Republican Party,4,#00AEC5,
Next Generation Military Education Act,,H.R.9903,10/01/2024,"Larsen, Rick",House - Armed Services,Washington,Democratic Party,10,#0090A3,
AWARE Act of 2024,,S.5239,09/25/2024,"Welch, Peter",Senate - Armed Services,Vermont,Democratic Party,4,#00AEC5,
